GEO_ID,NAME,S1401_C01_008E
36001,"Albany County, New York",28249
36003,"Allegany County, New York",5597
36005,"Bronx County, New York",90983
36007,"Broome County, New York",17674
36009,"Cattaraugus County, New York",3483
36011,"Cayuga County, New York",3227
36013,"Chautauqua County, New York",7279
36015,"Chemung County, New York",3047
36017,"Chenango County, New York",1146
36019,"Clinton County, New York",5904
36021,"Columbia County, New York",1508
36023,"Cortland County, New York",6256
36025,"Delaware County, New York",2829
36027,"Dutchess County, New York",21451
36029,"Erie County, New York",52972
36031,"Essex County, New York",1097
36033,"Franklin County, New York",1557
36035,"Fulton County, New York",1730
36037,"Genesee County, New York",2073
36039,"Greene County, New York",1204
36041,"Hamilton County, New York",124
36043,"Herkimer County, New York",2698
36045,"Jefferson County, New York",4743
36047,"Kings County, New York",133391
36049,"Lewis County, New York",713
36051,"Livingston County, New York",7056
36053,"Madison County, New York",6536
36055,"Monroe County, New York",48102
36057,"Montgomery County, New York",1525
36059,"Nassau County, New York",74871
36061,"New York County, New York",90000
36063,"Niagara County, New York",9291
36065,"Oneida County, New York",12328
36067,"Onondaga County, New York",32690
36069,"Ontario County, New York",6185
36071,"Orange County, New York",22222
36073,"Orleans County, New York",1309
36075,"Oswego County, New York",8267
36077,"Otsego County, New York",6759
36079,"Putnam County, New York",4364
36081,"Queens County, New York",128957
36083,"Rensselaer County, New York",10440
36085,"Richmond County, New York",25808
36087,"Rockland County, New York",17847
36089,"St. Lawrence County, New York",11161
36091,"Saratoga County, New York",10640
36093,"Schenectady County, New York",8208
36095,"Schoharie County, New York",2315
36097,"Schuyler County, New York",529
36099,"Seneca County, New York",1095
36101,"Steuben County, New York",2735
36103,"Suffolk County, New York",81341
36105,"Sullivan County, New York",2689
36107,"Tioga County, New York",1655
36109,"Tompkins County, New York",21509
36111,"Ulster County, New York",10650
36113,"Warren County, New York",2371
36115,"Washington County, New York",1585
36117,"Wayne County, New York",2998
36119,"Westchester County, New York",50432
36121,"Wyoming County, New York",1265
36123,"Yates County, New York",1134